,Delhi,Mumbai,Bangalore,Hyderabad,Kolkata,Chennai,Port Blair,Pune,Ahmedabad,Jaipur,Lucknow,Surat,Kanpur,Nagpur,Visakhapatnam,Bhopal,Patna,Vadodara,Agra,Nashik,Vijayawada,Coimbatore,Indore,Thane,Ludhiana,Madurai,Bhubaneswar,Amritsar,Varanasi,Raipur,Aurangabad,Ranchi,Jodhpur,Guwahati,Chandigarh,Mysore,Gwalior,Noida,Faridabad,Ghaziabad,Meerut,Rajkot,Dhanbad,Jalandhar,Kota,Bareilly,Bikaner,Agartala,Jammu,Udaipur,Dehradun,Allahabad,Srinagar,Mangalore,Shillong,Gangtok
Amritsar,400.00326484313683,1408.204369345234,2084.059509600574,1622.340295856175,1669.8202466084333,2127.245912179651,2872.9133704651117,1456.4080527088872,981.1747380807574,531.1010072657513,793.0311309831769,1173.0071447529397,780.7479019399467,1234.826145714705,1761.9075678627642,961.1153327726009,1203.0860024742185,1048.1069564396005,580.2480252521058,1292.4318749948911,1772.9935424055857,2294.8345627867816,992.7205626818542,1391.4985557701104,122.77641337074904,2426.8584881511756,1669.1482126879193,0,1058.1176449928435,1333.7274258048433,1202.6999571058334,1378.5407153546898,618.3862479463639,1750.8647036365915,206.97214753030065,2148.348163170319,681.5603315171692,413.65637736667986,428.2576567027137,402.80066088528423,403.0312318352517,1109.9210908929103,1431.136814322437,75.75985553456914,722.5378310853288,560.7733517556222,428.6787566433108,1831.0648701914588,120.09800698464264,790.7740951261269,335.38608468521534,966.5098144171033,270.5536066503023,2078.1490626491623,1790.8882740436416,1413.5700721707155
Varanasi,684.4291285054109,1254.8562254376118,1478.9823003726983,1000.1661531707224,625.1152582492779,1386.323611692445,1827.320267677774,1209.029418434707,1089.7644022203958,739.8156510909324,265.9221848842987,1136.5062846488827,296.5938802583713,613.3269757855977,846.68323865737,613.733974705062,214.92232885580657,1054.6793329263812,539.2170388483563,1115.1974445433798,1008.0754756207218,1709.7906088055304,781.7592973915689,1237.2722373119818,935.3891469698466,1782.2654043236819,632.7367499655394,1058.1176449928435,0,475.05387443648584,153.37959205070763,320.4487989561825,1005.3654975687989,882.251589365039,855.720548233085,1589.3858778418876,495.9191691668599,668.1494341275492,660.1642453270853,669.3733016802553,659.1523157706897,1287.477013413283,386.46855509550596,983.4193985716901,720.457150197997,497.7518322791572,1008.8827537365459,854.374244827034,1139.2640224325494,944.850336275619,737.9760143781391,118.66824050322681,1250.3762361931754,1624.263761053523,892.8190532816918,601.4587416748356
Raipur,934.1481760881044,947.4854721558984,1007.6924163358585,542.6355664502781,710.8843685067501,914.0286434391602,1588.855646841257,868.2583901815309,954.5037964400655,862.8769705584633,624.3116397610115,913.663228757324,593.6834005469715,265.1285115899109,429.2595482525636,490.19494570550006,601.2247394662738,880.6053980866092,753.5128037088897,828.6157774266314,534.0555710104071,1237.7300253482233,617.5938495872247,933.0463177702803,1217.0777634614706,1307.217883731228,451.1605610891341,1333.7274258048433,475.05387443648584,0,486.722437418618,447.63166477918577,1039.763945005469,1167.6014711515459,1158.4213509456888,1121.7325408142724,654.2102820730792,921.1893209395968,905.8264952190881,935.0000982394539,944.0673110615168,1126.162446131691,568.9549193270558,1267.3994685776868,734.4011331952885,830.844426736342,1127.4657929312323,1032.9809022114068,1438.0111872547889,895.0942030012077,1069.0038188733515,465.60015681713963,1572.2387523760756,1174.3371791923316,1151.9157254820202,977.8990185539038
Aurangabad,835.4249069524756,1350.769167129372,1489.809439331064,1029.0047144740097,472.8050005285757,1368.319212039733,1698.8687418928619,1294.4075505062779,1220.2679707763255,892.2299843438948,415.08260514225947,1251.4490102850539,449.8231002705817,679.7831029738512,795.7080090917543,733.1484989669461,114.57767846333681,1177.9831927204666,692.5789031842999,1214.879090652355,999.3737285716404,1718.2599062428355,900.6786968840435,1333.8597737189384,1080.2764275888767,1776.4597277549094,524.0902627012757,1202.6999571058334,153.37959205070763,486.722437418618,0,183.9517049149947,1154.7391421432203,753.7696888596874,998.2943841479863,1606.4144881904574,647.4860095748417,819.0673165103224,811.6744330604274,819.2327485724256,807.1372213018527,1415.9767258104746,233.4766826175808,1127.4824612658822,864.3954059844607,642.1235743912223,1162.0723709648353,705.6270650348837,1279.4174177379566,1085.3643462052507,877.0497558431026,269.25455154558034,1384.8506154736592,1660.3108722450252,757.8309339799774,504.93426472377985
Ranchi,1002.2895926249499,1377.897585490698,1407.8481174006697,976.4740666890638,323.87880784111644,1257.420629365168,1515.0526598772472,1307.5426199951246,1304.9044580791985,1035.4470750984988,586.1568859128811,1309.0173094935021,610.3684144535432,688.7510184253179,663.2138598293881,810.3911873115218,248.87360975904028,1250.4733338065594,848.6136493719839,1249.7654455789686,905.0336802250829,1631.265185705153,971.7063834943541,1362.2277400980715,1255.82351650883,1673.9025571938646,348.4189161564638,1378.5407153546898,320.4487989561825,447.63166477918577,183.9517049149947,0,1283.314641662348,720.7158745694251,1175.7474213215814,1529.967252002878,789.6791671642125,986.1489487831932,977.2800937527378,988.4770389649116,979.2845561930119,1494.6479717925117,122.31886460989995,1303.7806135565127,981.6075287273251,818.0120057847304,1309.7048981723842,610.1214360054066,1458.56918221516,1191.6718028515406,1056.592004839893,421.7181569124285,1566.6375749247106,1605.1501199480745,708.1380880915004,549.3285558821365
Jodhpur,483.5537923191472,802.1388415238888,1549.417644016933,1137.6807065590465,1607.0455054280728,1646.6549888447896,2625.352495325954,865.1383309561977,365.703078318647,285.60616692437384,789.1898052584066,563.8240029920958,727.2936015015449,839.4538941813577,1423.3318820564655,555.1630443735035,1212.691747370242,443.28544912464974,504.34993473878785,700.3776543201969,1337.7046277202062,1742.634363667737,489.2078186567897,786.5631929735384,580.6058970817303,1889.3916612680866,1469.5242164736867,618.3862479463639,1005.3654975687989,1039.763945005469,1154.7391421432203,1283.314641662348,0,1868.6842968073868,613.190715400876,1594.6093534032252,511.8038785822256,493.4680179116709,483.0964723461999,516.0169256441454,554.8612591668493,496.7628509398451,1379.196312431393,606.3072500420606,309.30431501695455,673.9484233977298,192.53228035499149,1859.6267195690668,733.3939351949832,201.2774456539217,663.6538133263489,886.8249245589813,879.1612403023269,1498.3839665099003,1887.9973978648575,1551.8637621082075
Guwahati,1466.4073853268942,2092.7653625117705,2077.610768168791,1683.3423414954293,527.1861048687697,1882.4698989255282,1610.1910014993089,2026.602238437766,1971.1303780632427,1588.93672580222,1080.6218395907113,2004.5860807921836,1141.4851965206853,1406.6733978021107,1282.6091093210985,1486.8371635090696,667.3439157169123,1931.495462692007,1371.7763990672427,1960.7247439446835,1573.4548080120126,2289.0356469931457,1654.4468531945777,2076.544863975685,1640.2310969375715,2302.818016525003,892.0865572666236,1750.8647036365915,882.251589365039,1167.6014711515459,753.7696888596874,720.7158745694251,1868.6842968073868,0,1549.4143389935343,2204.7286010525727,1358.4146292512673,1450.5292184965544,1449.96386726419,1440.7975713599822,1414.823358057623,2168.0310726590824,598.7634406586441,1677.476142080934,1598.7430854564168,1247.3897228008802,1837.8462345518506,264.5624825925658,1789.2755029784807,1825.4411203364052,1420.459128118145,997.927272986493,1847.9829818759474,2302.0763322247535,68.20461247814683,337.3982378037359
Chandigarh,236.51197698493712,1352.3227933758062,1966.9287324466009,1491.127691356882,1463.836301093987,1987.064340246863,2676.731744275961,1384.5811605332342,950.6923027854704,433.41691470813265,592.3085609706742,1126.5100799885354,586.6389965497387,1086.41678951273,1587.6714358782963,830.552070409797,996.3987569614306,1000.4880322292079,412.1887196033525,1225.141300080374,1622.7067343121212,2184.837330842428,892.458456778406,1334.5604761471486,90.91168304662668,2307.884190746429,1473.64391964216,206.97214753030065,855.720548233085,1158.4213509456888,998.2943841479863,1175.7474213215814,613.190715400876,1549.4143389935343,0,2040.6170989128314,519.8128357107731,245.52941262904326,263.3728426768099,226.80480439727197,214.37910104291078,1107.1235377107434,1225.5344627536324,131.2581431250517,622.7649184807688,358.123024361157,451.318362555646,1624.7476765605236,285.6733157525687,747.1083683986201,129.45560700357353,768.6077246346797,413.81743190139525,1988.1042711770535,1587.9464266493533,1212.0261356914907
Mysore,1807.9225077540268,849.9305346330318,129.4206858650367,592.6069086680882,1683.0508033647232,401.95621080875196,1752.826589985571,750.6056222709504,1262.1566368478693,1619.778075163718,1669.878797234373,1066.2283724230058,1613.369922733093,1012.3655419293381,929.7747445102489,1214.890888093671,1720.2590056332974,1165.2974949177649,1652.2676441078352,906.0510500608362,631.6114899775062,148.02527618296034,1155.741008596002,858.4206528738772,2061.7008349741777,307.6453632140978,1317.7515544968112,2148.348163170319,1589.3858778418876,1121.7325408142724,1606.4144881904574,1529.967252002878,1594.6093534032252,2204.7286010525727,2040.6170989128314,0,1546.5882620486818,1802.1880923913666,1783.5750294131562,1825.3910780699669,1852.2257768874847,1269.156122378444,1638.1780700649504,2105.4940201994527,1426.9202182914485,1811.0511834807319,1773.7224543940183,2003.3479256543312,2268.119926616007,1394.1004328033428,2000.4887657666939,1552.2051305123407,2418.277789880749,206.59972536168138,2170.999304067791,2079.05448581103
Gwalior,285.7028439696966,960.0114521875398,1464.0732948426798,979.7371650126063,1110.2862211684144,1469.140888986884,2220.558573535744,958.9956883272774,665.6164774548853,245.9706628687153,285.5891992793546,774.9863643397152,217.9489564228983,567.6247810539221,1080.9965953821506,335.06916601223816,700.9996781097454,664.1292772614921,108.64129060288371,818.6209959551038,1102.9362110395878,1687.4175904800027,450.2280270402498,941.2867540600163,568.1493645843941,1801.7282821044832,1024.8988869053785,681.5603315171692,495.9191691668599,654.2102820730792,647.4860095748417,789.6791671642125,511.8038785822256,1358.4146292512673,519.8128357107731,1546.5882620486818,0,274.82653670924924,257.72365395941904,293.169651646776,312.4428096041029,862.4191539212321,876.5786163410464,618.0211515492539,257.5217249762054,278.6478955769922,520.2011091637859,1349.9366591230091,789.7313608497806,484.5524398293885,456.9348422795345,378.24819888788903,929.718630843994,1516.2785703704649,1376.5267138727754,1046.964373076102
Noida,16.461131536577515,1147.3215882688264,1725.5527711555833,1246.998603319054,1291.7704447253811,1741.6238605620094,2464.182399438838,1167.89074264253,777.3457862595897,236.11860117441975,404.25503343578265,933.1285811640217,377.04373051988233,840.8887825475147,1350.0239295162755,588.5654866396085,839.6934783530029,809.63466506631,168.6098929244108,1013.5988274020002,1377.383435161498,1945.38590363283,664.4411364754465,1129.0162326353548,295.9021431513713,2065.6363320090313,1261.0754819003262,413.65637736667986,668.1494341275492,921.1893209395968,819.0673165103224,986.1489487831932,493.4680179116709,1450.5292184965544,245.52941262904326,1802.1880923913666,274.82653670924924,0,18.633504903710797,26.041707099121766,64.31293169205357,954.7962737353143,1052.0930494841255,346.2111958468999,403.714349825206,203.74965033129587,398.1196372206692,1489.0631744362663,517.1380325719192,571.9226226739173,206.5661913811837,566.0619321146271,655.1824256299785,1757.3561583589014,1480.313620082093,1118.5911962926912
Faridabad,28.327056128058427,1129.7441051880728,1707.0260047458487,1228.6921211556685,1284.475696057686,1723.6940786880282,2451.9280193804034,1149.7700649593692,761.9300910913345,220.98683929254034,397.5034296735978,916.2845070372854,367.3426513672547,823.1446338950731,1334.4618026300823,570.029522715754,834.6991221602065,793.0432874053002,152.52503675604808,995.7439038904818,1359.8776307187843,1926.7945047421604,645.9957445445849,1111.4173566064753,311.60918187150645,2047.1620432031546,1249.1872927448978,428.2576567027137,660.1642453270853,905.8264952190881,811.6744330604274,977.2800937527378,483.0964723461999,1449.96386726419,263.3728426768099,1783.5750294131562,257.72365395941904,18.633504903710797,0,43.685211186289685,80.004890796473,940.5598945110369,1044.92979705071,361.8137449960068,385.8861552602991,205.25175274080485,394.3603710722602,1485.1686133282724,533.091427936032,556.791993678524,224.6574415048063,556.4834773746694,672.0158335072821,1738.7665071238182,1478.9594715339842,1118.9520888484797
Ghaziabad,32.46763564773337,1173.255025129044,1748.0131759040812,1268.3701395909463,1291.53352177896,1761.5842977454613,2471.8125500918004,1193.4517648667327,803.0577755043334,261.81452701073954,404.16783076497006,959.1690862647002,381.5733927166501,860.3892703445764,1364.1275762362723,611.1938547639547,836.3034929100724,835.6567043534394,185.3873821594177,1039.3907582170523,1396.1009514519585,1968.3423024705496,689.4525295023252,1154.9413588665282,282.97200117181694,2087.7706199160575,1268.2589277647305,402.80066088528423,669.3733016802553,935.0000982394539,819.2327485724256,988.4770389649116,516.0169256441454,1440.7975713599822,226.80480439727197,1825.3910780699669,293.169651646776,26.041707099121766,43.685211186289685,0,39.27170488098651,979.9380584787071,1051.7578283788519,333.3384568152772,429.51816062403475,193.52465453765737,414.4760809277396,1483.8167185008924,503.09734877311143,597.535346474411,180.98123670465318,569.9238554284041,638.8435679934972,1781.7553739811267,1471.6097800941693,1107.7715741814081
Meerut,71.48486754344792,1208.765843359843,1773.1382334941022,1291.2755119313,1278.325626956966,1781.4143000736815,2469.9151950229016,1227.1340256687959,841.5729810174406,300.3830873857267,393.23013419903276,996.1691721195198,377.72277553986663,879.8306544420137,1373.309250720652,637.3614501174851,819.1469814422711,873.0246538354592,203.81607169561408,1074.111057026298,1413.631892532713,1994.5683752408804,721.4447741183574,1190.3979526450023,280.90497999450366,2112.1010907109953,1266.1577569305673,403.0312318352517,659.1523157706897,944.0673110615168,807.1372213018527,979.2845561930119,554.8612591668493,1414.823358057623,214.37910104291078,1852.2257768874847,312.4428096041029,64.31293169205357,80.004890796473,39.27170488098651,0,1019.0292163896797,1038.6194809599044,330.72681039175393,464.5508804134093,170.87086685491144,449.1760927968469,1463.5834536877564,497.1821274540521,636.2098362156726,149.1367480795518,563.9569064776648,628.1838988346738,1811.6486984918113,1446.9042175748045,1080.6267806054232
Rajkot,948.6599449597414,419.3191107422961,1259.1801745989999,971.993531734447,1806.9593025536415,1430.8663208192781,2611.1772270294887,526.1994413529294,199.12758748137725,720.0970669499908,1141.9490699776713,242.40792021100248,1069.2868214040275,865.9338978479259,1402.4095308576832,685.7480087448255,1501.9472676166415,246.41700552926542,906.5799379934776,400.9523580484678,1213.3296194205345,1412.407211339973,523.1547179755335,411.7768597241928,1077.3686403840607,1576.5006445007818,1576.035114115808,1109.9210908929103,1287.477013413283,1126.162446131691,1415.9767258104746,1494.6479717925117,496.7628509398451,2168.0310726590824,1107.1235377107434,1269.156122378444,862.4191539212321,954.7962737353143,940.5598945110369,979.9380584787071,1019.0292163896797,0,1609.286760097512,1102.3557077661371,605.2989507747594,1101.1366612501322,681.4284657746871,2103.5265420802866,1221.1719726873166,387.54000770207807,1144.856339178189,1175.4036900872545,1362.311169933864,1128.6891359125016,2173.794848030196,1882.4127591365138
Dhanbad,1068.4769499567806,1499.8001873679586,1514.4872112754877,1092.9603913637432,239.78159569257875,1351.9019364691205,1499.3691974476515,1429.8512264204253,1417.750510823058,1122.2329552466279,647.8732965944859,1427.6363548713132,683.062390644262,810.911927625994,750.3882320828859,923.7989792354186,240.57807419171138,1366.1828092702763,925.5224602933142,1371.0632546168524,1009.484256494925,1735.3480070968576,1087.1273859500993,1484.0546588807294,1309.1552738244927,1771.0182425040484,396.1649557012462,1431.136814322437,386.46855509550596,568.9549193270558,233.4766826175808,122.31886460989995,1379.196312431393,598.7634406586441,1225.5344627536324,1638.1780700649504,876.5786163410464,1052.0930494841255,1044.92979705071,1051.7578283788519,1038.6194809599044,1609.286760097512,0,1355.6256358008193,1082.330117229624,871.8218017677123,1393.6972265847135,494.3420645460776,1503.9065773349857,1297.3548646600586,1101.9383832335448,499.7728352392265,1603.7253858207441,1719.377857142148,585.8599628472,448.6324533090932
Jalandhar,333.49504323484626,1382.4764297357447,2037.8858754020857,1570.875285595373,1594.2223565358163,2073.1738005620696,2800.3003304035933,1425.1637348598276,962.9686487834895,485.72658402866347,718.6931114049927,1149.9160413230868,708.1913889810708,1177.064731132925,1696.206728995084,908.4906883917625,1127.342456268564,1024.1176346132352,514.3374708650083,1262.3763346373464,1715.2439776642798,2251.304580616954,950.2707230191565,1365.355188905793,50.37684579321101,2380.2888966815726,1596.6098112401023,75.75985553456914,983.4193985716901,1267.3994685776868,1127.4824612658822,1303.7806135565127,606.3072500420606,1677.476142080934,131.2581431250517,2105.4940201994527,618.0211515492539,346.2111958468999,361.8137449960068,333.3384568152772,330.72681039175393,1102.3557077661371,1355.6256358008193,0,678.6728664848807,485.8138949949245,423.49852759671836,1755.721483583698,171.79195341318794,766.6399775743519,260.0214194300645,893.0338856995126,316.43635072569714,2041.4201791254975,1716.9294071345087,1340.1043383706658
Kota,404.3248733531315,744.3012747937263,1361.5622902272885,906.6130509086772,1305.395611954713,1416.179689453744,2322.748607524317,765.1045994401348,409.6767308248289,193.00523535415203,540.6451167363471,537.2465463145612,469.7781822015708,554.569952933818,1130.7765715573419,263.8435670531323,933.4854900506567,418.55957820893656,308.97444906608547,609.8846991654827,1079.063169758053,1572.9583714704127,271.728224367649,725.902556710866,635.5914161314624,1704.4067191574695,1160.3180908921354,722.5378310853288,720.457150197997,734.4011331952885,864.3954059844607,981.6075287273251,309.30431501695455,1598.7430854564168,622.7649184807688,1426.9202182914485,257.5217249762054,403.714349825206,385.8861552602991,429.51816062403475,464.5508804134093,605.2989507747594,1082.330117229624,678.6728664848807,0,506.70072573730414,403.94248505903073,1569.5479962554512,841.8803538885776,229.07966423038252,610.1925195341256,602.4755618702792,991.7342508493188,1366.146784355894,1612.432325429315,1295.8024066814655
Bareilly,219.33583233960752,1235.673687203698,1722.766759284512,1232.6962291073567,1111.1815918837378,1704.6180349122894,2319.881989281036,1237.4607866726838,911.5787781258272,392.8370210137987,234.56273941306014,1041.71030998014,239.16456830282698,810.2165684539141,1256.652400289193,609.9994723256126,649.2081658342453,925.0712727035543,197.74151647360338,1095.2448344667548,1328.8021790606567,1949.255944200372,728.0829223424761,1216.9754428976332,438.2132609348752,2055.9743506288273,1117.8481559832194,560.7733517556222,497.7518322791572,830.844426736342,642.1235743912223,818.0120057847304,673.9484233977298,1247.3897228008802,358.123024361157,1811.0511834807319,278.6478955769922,203.74965033129587,205.25175274080485,193.52465453765737,170.87086685491144,1101.1366612501322,871.8218017677123,485.8138949949245,506.70072573730414,0,599.4147685911287,1292.7162754556239,642.6795993155429,713.7026018141997,245.5445690652225,412.4754925429819,760.3014632499095,1789.6176937596658,1278.0957818731272,914.9136223646973
Bikaner,384.01675829369356,993.500967851937,1722.8745593553108,1293.0288298808287,1629.2730912300556,1804.0477766446295,2715.1975118454275,1052.949012458984,558.2179891649445,275.71161405997026,764.2783977816694,755.5335248515412,714.7229067709894,958.4741962197094,1533.0024831103829,667.7374668958083,1203.1232075022954,633.6051556030598,472.53088913357993,887.8978002165691,1478.4971028966004,1921.635407905415,640.3022007363694,977.6673716820009,404.0414501298177,2064.5604919806024,1533.9184760575552,428.6787566433108,1008.8827537365459,1127.4657929312323,1162.0723709648353,1309.7048981723842,192.53228035499149,1837.8462345518506,451.318362555646,1773.7224543940183,520.2011091637859,398.1196372206692,394.3603710722602,414.4760809277396,449.1760927968469,681.4284657746871,1393.6972265847135,423.49852759671836,403.94248505903073,599.4147685911287,0,1856.5143829527824,541.9420897209554,382.5967325984105,526.172789650627,893.9252263135377,686.8733056064123,1684.37945104558,1863.828093984593,1509.9133039838855
Agartala,1505.4606051516994,1978.778498549595,1874.6221198729552,1514.0823768206858,329.6656012866312,1662.0906635353158,1355.411238334302,1901.1731933260926,1912.0603870913612,1592.184970060102,1093.2805580093207,1918.8528679233425,1142.4599044877968,1289.5822500093318,1073.7766343964788,1418.1317247997304,653.4337422746531,1860.0578034290666,1383.9843798202066,1854.666723240376,1377.3379018029636,2077.814535260705,1581.080424032316,1963.79531612298,1713.7884718937623,2079.4192314086167,686.9226188920958,1831.0648701914588,854.374244827034,1032.9809022114068,705.6270650348837,610.1214360054066,1859.6267195690668,264.5624825925658,1624.7476765605236,2003.3479256543312,1349.9366591230091,1489.0631744362663,1485.1686133282724,1483.8167185008924,1463.5834536877564,2103.5265420802866,494.3420645460776,1755.721483583698,1569.5479962554512,1292.7162754556239,1856.5143829527824,0,1884.9329151813101,1788.2966841802368,1495.7124150562329,972.817928001691,1961.35446527428,2115.8446176513366,202.58520852305276,471.2529417415201
Jammu,504.8073096907932,1526.7392535133315,2203.200732884267,1739.6349598355114,1740.7302336109371,2243.2953349083705,2962.2004074752017,1576.0452226358316,1097.679129041234,649.9329449650867,877.2069553032217,1290.9437620229126,872.1895331789412,1348.366274907102,1867.0309297321314,1077.7028519202945,1270.8838383439952,1166.3977299936876,685.5784027794389,1411.9240488082676,1886.6009135787021,2414.5150761603163,1112.4142004897192,1510.14593617732,221.60175061899704,2545.9254635413417,1759.2737835811654,120.09800698464264,1139.2640224325494,1438.0111872547889,1279.4174177379566,1458.56918221516,733.3939351949832,1789.2755029784807,285.6733157525687,2268.119926616007,789.7313608497806,517.1380325719192,533.091427936032,503.09734877311143,497.1821274540521,1221.1719726873166,1503.9065773349857,171.79195341318794,841.8803538885776,642.6795993155429,541.9420897209554,1884.9329151813101,0,909.3691370543576,402.3844960066659,1054.1034065969136,150.45713548023684,2198.228582411152,1832.7524297149891,1453.4577068477308
Udaipur,567.1391401995343,617.4329938299413,1348.141921850202,941.3213237898367,1513.9438203254533,1448.5716354841138,2466.304160870678,670.9259286915507,206.03801102719453,335.84314367721066,769.1645812415601,383.2769735639031,698.7257437722835,671.3029771819179,1254.8872364815138,405.5729139617363,1158.9781711297533,257.6190421407631,520.0367961987381,505.8911847924992,1148.3128600599446,1542.1191205898813,303.16765543849516,600.7802517487967,733.2057081974451,1688.218471550244,1338.7712563511468,790.7740951261269,944.850336275619,895.0942030012077,1085.3643462052507,1191.6718028515406,201.2774456539217,1825.4411203364052,747.1083683986201,1394.1004328033428,484.5524398293885,571.9226226739173,556.791993678524,597.535346474411,636.2098362156726,387.54000770207807,1297.3548646600586,766.6399775743519,229.07966423038252,713.7026018141997,382.5967325984105,1788.2966841802368,909.3691370543576,0,768.6222599774646,827.7947170351262,1058.286886768812,1301.7834295611974,1837.6512729677904,1524.6389391932175
Dehradun,206.35564559360364,1353.281045905866,1920.2924748692642,1436.6546064001448,1339.3610565850452,1922.92998985568,2563.665292678451,1374.4248499153853,974.6580077688567,436.05477418369355,478.8791452129403,1136.7953396410096,482.96087036560596,1021.8461745774936,1496.953185941589,785.6297952947251,870.4984134447938,1012.4025164923505,349.17013191900145,1220.0593371385362,1552.2090705190762,2142.4596403400606,870.014980136775,1335.0269624093353,219.90728674169037,2258.533118383437,1362.6606044896703,335.38608468521534,737.9760143781391,1069.0038188733515,877.0497558431026,1056.592004839893,663.6538133263489,1420.459128118145,129.45560700357353,2000.4887657666939,456.9348422795345,206.5661913811837,224.6574415048063,180.98123670465318,149.1367480795518,1144.856339178189,1101.9383832335448,260.0214194300645,610.1925195341256,245.5445690652225,526.172789650627,1495.7124150562329,402.3844960066659,768.6222599774646,0,657.6212573209526,514.906847151594,1960.7854420397232,1458.6530615995166,1083.1076772383126
Allahabad,582.0295507990895,1162.7500811083405,1447.220249411825,959.6737524284634,736.177624665284,1377.409775332991,1908.125325724036,1124.4207951685107,977.0015541424652,623.0846831539545,179.28146334877607,1032.5403421348408,189.14094149687327,552.0294321097479,870.6953144005021,510.3723405766831,331.21119830005944,945.9578500957314,427.5744166452187,1021.2810857572124,996.394546755523,1678.370363168674,677.0941975959138,1144.7973702831464,843.8995680993266,1761.3225481968432,705.4297329208798,966.5098144171033,118.66824050322681,465.60015681713963,269.25455154558034,421.7181569124285,886.8249245589813,997.927272986493,768.6077246346797,1552.2051305123407,378.24819888788903,566.0619321146271,556.4834773746694,569.9238554284041,563.9569064776648,1175.4036900872545,499.7728352392265,893.0338856995126,602.4755618702792,412.4754925429819,893.9252263135377,972.817928001691,1054.1034065969136,827.7947170351262,657.6212573209526,0,1172.527040972832,1572.718706927145,1010.0913850433722,708.0006045448529
Srinagar,644.021984695273,1675.3996391972264,2352.7055730357515,1887.2587272450717,1837.3874213903955,2389.460699897894,3077.4541882057647,1725.9318901542947,1244.380158428221,799.4425695721776,993.6919477957562,1439.0231883701683,995.8754928474642,1492.3228266333842,2001.4884066882819,1224.912501469634,1366.642425946839,1314.8969204447726,823.6152140078303,1561.659519083312,2030.2481062348284,2564.5768136909874,1262.5388678134261,1658.933607512633,364.1890948892399,2695.333713985687,1877.4243893988898,270.5536066503023,1250.3762361931754,1572.2387523760756,1384.8506154736592,1566.6375749247106,879.1612403023269,1847.9829818759474,413.81743190139525,2418.277789880749,929.718630843994,655.1824256299785,672.0158335072821,638.8435679934972,628.1838988346738,1362.311169933864,1603.7253858207441,316.43635072569714,991.7342508493188,760.3014632499095,686.8733056064123,1961.35446527428,150.45713548023684,1058.286886768812,514.906847151594,1172.527040972832,0,2348.645524390073,1895.3178071315226,1516.1319159387126
Mangalore,1761.2884180872056,716.2853652623348,301.9113301737932,631.7916448554173,1789.6336827082375,589.2845611686572,1951.1449469485444,634.2859959347522,1148.818217303969,1558.2865415298527,1671.9943293559038,947.4223037707723,1609.8824571413832,1021.26726828514,1052.5052873004788,1181.226165737255,1774.8862881448065,1057.9486468301536,1617.7853501060602,798.2481406689866,740.8043378607474,309.86218694551985,1095.6496796598378,727.9690411371952,2000.2631566369232,483.16573233646653,1429.5373793275298,2078.1490626491623,1624.263761053523,1174.3371791923316,1660.3108722450252,1605.1501199480745,1498.3839665099003,2302.0763322247535,1988.1042711770535,206.59972536168138,1516.2785703704649,1757.3561583589014,1738.7665071238182,1781.7553739811267,1811.6486984918113,1128.6891359125016,1719.377857142148,2041.4201791254975,1366.146784355894,1789.6176937596658,1684.37945104558,2115.8446176513366,2198.228582411152,1301.7834295611974,1960.7854420397232,1572.718706927145,2348.645524390073,0,2273.350314161076,2149.3012045568516
Shillong,1496.3600760290851,2085.113006712781,2043.2433743556467,1659.1184300863845,488.5096797593957,1841.954495803483,1542.5248040181866,2015.657796366162,1977.9952425975353,1610.6378661907136,1102.690059543133,2004.48724612539,1161.0042506676934,1396.7135296101858,1245.2431635494222,1490.075655206036,678.9488847272759,1935.0600429100975,1395.0064108282238,1955.0540130427867,1540.7395014427998,2252.0273897212924,1656.9219441813075,2069.211857537688,1678.559986296987,2261.4777466273936,854.6216317168571,1790.8882740436416,892.8190532816918,1151.9157254820202,757.8309339799774,708.1380880915004,1887.9973978648575,68.20461247814683,1587.9464266493533,2170.999304067791,1376.5267138727754,1480.313620082093,1478.9594715339842,1471.6097800941693,1446.9042175748045,2173.794848030196,585.8599628472,1716.9294071345087,1612.432325429315,1278.0957818731272,1863.828093984593,202.58520852305276,1832.7524297149891,1837.6512729677904,1458.6530615995166,1010.0913850433722,1895.3178071315226,2273.350314161076,0,379.57106157343827
Gangtok,1134.2477888157819,1851.425432639122,1957.171754657367,1518.1035413215877,527.4748262905058,1800.480720725953,1786.95578358438,1798.3973641108942,1683.5908941564703,1268.6934279130892,763.3003852038253,1737.885817328395,829.0743410957981,1184.6820467778343,1198.7766798536138,1215.020749137673,396.6177037051881,1653.8859241416326,1049.810596504189,1713.4800588934224,1454.0318672570072,2180.3458351635427,1382.891544964499,1834.1861416008583,1302.8518141479992,2219.295915915481,832.2477251880238,1413.5700721707155,601.4587416748356,977.8990185539038,504.93426472377985,549.3285558821365,1551.8637621082075,337.3982378037359,1212.0261356914907,2079.05448581103,1046.964373076102,1118.5911962926912,1118.9520888484797,1107.7715741814081,1080.6267806054232,1882.4127591365138,448.6324533090932,1340.1043383706658,1295.8024066814655,914.9136223646973,1509.9133039838855,471.2529417415201,1453.4577068477308,1524.6389391932175,1083.1076772383126,708.0006045448529,1516.1319159387126,2149.3012045568516,379.57106157343827,0
